"name_ukr","name_eng"
"Рис","Rice"
"Хліб пшеничний","Wheat bread"
"Хліб житній","Rye bread"
"Яловичина","Beef"
"Свинина","Pork"
"Птиця","Chicken"
"Сало","Salo"
"Борошно пшеничне","Wheat flour"
"Макаронні вироби","Pasta"
"Крупи гречані","Buckwheat"
"Ковбаси","Pork/beef sausage"
"Молоко","Milk"
"Сметана","Cream"
"Масло вершкове","Butter"
"Сир м'який","Cottage cheese"
"Цукор","Sugars"
"Олія соняшникова","Sunflower oil"
"Яйця","Eggs"
"Картопля","Potatoes"
"Капуста","Cabbage"
"Морква","Carrots"
"Буряк","Beets"
"Цибуля","Onions"
"Сіль","Salt"
"Апельсини","Oranges"
"Зелена квасоля","Green beans"
"Насіння соняшника","Sunflower seeds"
"Насіння гарбуза","Pumpkin seeds"
"Грецький горіх","Walnuts"
"Пластівці вівсяні","Oatmeal"
"Гриби білі","Common mushrooms"
"Гриби печериці","Portabella mushrooms"
"Інжир","Figs"
"Редиска","Radishes"
"Помідори","Tomatoes"
"Перець солодкий","Sweet peppers"
"Перець гострий","Hot peppers"
"Часник","Garlic"
"Петрушка","Parsley"
"Кріп","Dill weed"
"Оселедець","Herring"
"Сардина в олії","Sardine (oil)"
"Сардина в томаті","Sardine (tomato sauce)"
