name_prep_eng,fullness
Rice (boiled),3.66
Wheat bread (raw),3.11
Rye bread (raw),3.13
Beef (boiled),3.12
Beef (roasted),3.29
Pork (boiled),3.48
Pork (roasted),3.62
Chicken (boiled),3.25
Chicken (roasted),3.19
Salo (raw),1.58
Salo (roasted),1.55
Pasta (boiled),3.48
Buckwheat (boiled),4.04
Pork/beef sausage (raw),2.91
Milk (raw),4.97
Cream (raw),3.71
Butter (raw),0.5
Cottage cheese (raw),3.96
Sugars (raw),2.92
Sunflower oil (raw),0.5
Eggs (boiled),3.5
Eggs (roasted),3.31
Potatoes (boiled),4.11
Potatoes (roasted),4.02
Cabbage (raw),5.0
Cabbage (boiled),5.0
Carrots (raw),5.0
Carrots (boiled),5.0
Beets (raw),5.0
Beets (boiled),5.0
Onions (raw),5.0
Onions (boiled),5.0
Salt (raw),5.0
Oranges (raw),4.57
Green beans (raw),5.0
Sunflower seeds (raw),2.68
Pumpkin seeds (raw),5.0
Walnuts (raw),1.62
Oatmeal (boiled),4.39
Portabella mushrooms (boiled),5.0
Figs (raw),3.15
Radishes (raw),5.0
Tomatoes (raw),5.0
Sweet peppers (raw),5.0
Hot peppers (raw),5.0
Garlic (raw),3.53
Parsley (raw),5.0
Dill weed (raw),5.0
Herring (raw),3.27
Sardine (oil) (canned),3.27
Sardine (tomato sauce) (canned),3.36
